OrderDetailID,OrderID,OrderQty,MenuItemID,UnitPrice,LineTotal
57165,17982,1,18,19.49,19.49
57166,17982,1,21,7.49,7.49
57167,17982,2,16,20.99,41.98
57168,17982,1,26,11.49,11.49
57169,17983,1,23,7.99,7.99
57170,17983,1,15,15.99,15.99
57171,17984,1,18,19.49,19.49
57172,17985,1,22,5.99,5.99
57173,17986,1,18,19.49,19.49
57174,17987,1,13,13.49,13.49
57175,17988,1,18,19.49,19.49
57176,17988,2,14,19.49,38.98
57177,17988,1,15,15.99,15.99
57178,17988,1,27,10.49,10.49
57179,17989,1,16,20.99,20.99
57180,17989,1,18,19.49,19.49
57181,17990,2,3,9.49,18.98
57182,17990,1,13,13.49,13.49
57183,17990,1,2,10.99,10.99
57184,17991,1,20,5.99,5.99
57185,17991,1,24,5.99,5.99
57186,17991,1,3,9.49,9.49
57187,17991,1,15,15.99,15.99
57188,17991,1,29,10.49,10.49
57189,17992,2,13,13.49,26.98
57190,17993,4,13,13.49,53.96
57191,17993,2,27,10.49,20.98
57192,17994,1,16,20.99,20.99
57193,17995,1,28,11.99,11.99
57194,17995,1,17,20.49,20.49
57195,17995,1,35,3.99,3.99
57196,17996,1,17,20.49,20.49
57197,17997,2,19,7.99,15.98
57198,17997,1,8,18.99,18.99
57199,17997,2,6,15.99,31.98
57200,17997,1,33,5.99,5.99
57201,17998,2,2,10.99,21.98
57202,17998,1,33,5.99,5.99
57203,17999,1,28,11.99,11.99
57204,17999,1,29,10.49,10.49
57205,18000,3,15,15.99,47.97
57206,18000,1,4,9.99,9.99
57207,18000,3,26,11.49,34.47
57208,18000,1,14,19.49,19.49
57209,18001,1,21,7.49,7.49
57210,18001,1,7,26.99,26.99
57211,18002,1,24,5.99,5.99
57212,18002,1,34,4.99,4.99
57213,18002,1,36,2.99,2.99
57214,18002,1,17,20.49,20.49
57215,18002,1,34,4.99,4.99
57216,18002,1,32,4.99,4.99
57217,18002,1,16,20.99,20.99
57218,18003,2,22,5.99,11.98
57219,18003,1,7,26.99,26.99
57220,18003,1,28,11.99,11.99
57221,18003,1,25,11.49,11.49
57222,18003,2,35,3.99,7.98
57223,18003,1,26,11.49,11.49
57224,18003,2,17,20.49,40.98
57225,18003,1,32,4.99,4.99
57226,18004,1,28,11.99,11.99
57227,18005,1,9,17.49,17.49
57228,18005,1,16,20.99,20.99
57229,18005,1,20,5.99,5.99
57230,18005,1,24,5.99,5.99
57231,18005,1,33,5.99,5.99
57232,18005,1,26,11.49,11.49
57233,18005,2,20,5.99,11.98
57234,18005,1,17,20.49,20.49
57235,18005,1,6,15.99,15.99
57236,18006,2,34,4.99,9.98
57237,18006,1,1,15.99,15.99
57238,18006,1,32,4.99,4.99
57239,18006,1,34,4.99,4.99
57240,18007,2,29,10.49,20.98
57241,18008,3,16,20.99,62.97
57242,18009,1,31,3.99,3.99
57243,18009,1,32,4.99,4.99
57244,18010,1,25,11.49,11.49
57245,18010,1,15,15.99,15.99
57246,18010,2,34,4.99,9.98
57247,18010,1,31,3.99,3.99
57248,18011,1,14,19.49,19.49
57249,18011,2,18,19.49,38.98
57250,18011,1,25,11.49,11.49
57251,18012,1,24,5.99,5.99
57252,18012,1,7,26.99,26.99
57253,18012,1,28,11.99,11.99
57254,18012,2,36,2.99,5.98
57255,18012,1,30,11.99,11.99
57256,18012,1,32,4.99,4.99
57257,18013,1,27,10.49,10.49
57258,18013,2,4,9.99,19.98
57259,18014,3,29,10.49,31.47
57260,18014,2,11,27.99,55.98
57261,18014,1,16,20.99,20.99
57262,18014,1,32,4.99,4.99
57263,18014,2,26,11.49,22.98
57264,18015,2,25,11.49,22.98
57265,18016,1,26,11.49,11.49
57266,18017,2,20,5.99,11.98
57267,18017,1,10,27.99,27.99
57268,18018,1,10,27.99,27.99
57269,18018,2,11,27.99,55.98
57270,18019,1,19,7.99,7.99
57271,18020,2,28,11.99,23.98
57272,18021,1,30,11.99,11.99
57273,18021,1,22,5.99,5.99
57274,18021,1,26,11.49,11.49
57275,18022,1,33,5.99,5.99
57276,18022,1,2,10.99,10.99
57277,18023,2,24,5.99,11.98
57278,18023,1,1,15.99,15.99
57279,18024,1,34,4.99,4.99
57280,18024,1,11,27.99,27.99
57281,18024,1,27,10.49,10.49
57282,18024,1,31,3.99,3.99
57283,18024,4,3,9.49,37.96
57284,18025,1,25,11.49,11.49
57285,18026,1,18,19.49,19.49
57286,18026,1,21,7.49,7.49
57287,18026,1,6,15.99,15.99
57288,18027,1,17,20.49,20.49
57289,18027,1,22,5.99,5.99
57290,18027,1,21,7.49,7.49
57291,18027,1,15,15.99,15.99
57292,18027,2,12,16.99,33.98
57293,18028,1,26,11.49,11.49
