ReviewID,LocationID,Date,Review,Source
11,1,1/6/2019,5,Tripadvisor
16,1,1/6/2019,5,Yelp
22,1,1/6/2019,5,Google
85,1,1/6/2019,5,Google
104,1,1/6/2019,5,Google
134,1,1/6/2019,1.5,Google
147,1,1/6/2019,5,Tripadvisor
159,1,1/6/2019,5,Google
162,1,1/6/2019,5,Tripadvisor
242,1,1/6/2019,5,Google
252,1,1/6/2019,5,Yelp
292,1,1/6/2019,5,Google
297,1,1/6/2019,5,Tripadvisor
302,1,1/6/2019,5,Google
17,1,1/7/2019,5,Tripadvisor
31,1,1/7/2019,5,Tripadvisor
59,1,1/7/2019,5,Google
69,1,1/7/2019,5,Yelp
111,1,1/7/2019,5,Google
115,1,1/7/2019,5,Yelp
116,1,1/7/2019,5,Google
140,1,1/7/2019,5,Google
145,1,1/7/2019,5,Google
161,1,1/7/2019,5,Google
217,1,1/7/2019,5,Tripadvisor
269,1,1/7/2019,5,Google
274,1,1/7/2019,5,Google
305,1,1/7/2019,5,Tripadvisor
2,1,1/8/2019,3.5,Google
40,1,1/8/2019,5,Tripadvisor
81,1,1/8/2019,5,Google
109,1,1/8/2019,5,Yelp
119,1,1/8/2019,5,Google
169,1,1/8/2019,5,Google
175,1,1/8/2019,5,Google
181,1,1/8/2019,5,Tripadvisor
194,1,1/8/2019,5,Google
212,1,1/8/2019,5,Google
238,1,1/8/2019,5,Google
241,1,1/8/2019,5,Google
251,1,1/8/2019,5,Google
307,1,1/8/2019,5,Google
310,1,1/8/2019,5,Google
9,1,1/9/2019,5,Google
14,1,1/9/2019,5,Google
20,1,1/9/2019,5,Yelp
26,1,1/9/2019,5,Tripadvisor
41,1,1/9/2019,5,Google
80,1,1/9/2019,5,Google
88,1,1/9/2019,5,Tripadvisor
93,1,1/9/2019,5,Google
97,1,1/9/2019,0,Google
125,1,1/9/2019,5,Google
126,1,1/9/2019,5,Google
172,1,1/9/2019,5,Tripadvisor
204,1,1/9/2019,5,Yelp
248,1,1/9/2019,5,Google
268,1,1/9/2019,1,Google
290,1,1/9/2019,5,Google
306,1,1/9/2019,5,Yelp
316,1,1/9/2019,5,Google
